file_name,iso_code,latitude,longitude,pano_id,heading
000001.png,ru,53.94268089624684,74.23758950453576,kSr5aRj4CTkcqD6ylV9kEQ,202
000002.png,pe,-12.63360395070096,-69.18172979304792,6qsazwF2TvQmQ7OZ0psUvQ,343
000003.png,br,-18.55894160014921,-40.217369236005,lvMJlpC7YEqLEXoqRwLMzw,274
000004.png,us,36.51668627645006,-76.5737345313068,-oGq39QBd5khyPuo7BSGlw,243
000005.png,gb,53.44163738700945,-0.05159560208197685,JNkGcRnAEap2U3ZZh-vGoQ,44
000006.png,us,42.30839221468689,-89.53347347058768,Uupcqoq1NAPfTWu_d1oVpA,31
000007.png,us,38.89127466339312,-82.05532593121802,EeI3RmFZh9Z2naqzVEmkFw,124
000008.png,ru,56.08714907851648,88.77482986986217,BZ6YD88xfh6bZb7Z_KNR0A,313
000009.png,za,-33.52984875077031,21.71516261586297,f6b9HVKTL82TngmAuegq2A,31
000010.png,th,12.19249622448779,102.6606147021181,tyRykedmZw66mpWQLRHWnA,93
000011.png,us,41.40996530639287,-96.20384990778899,HT0nBcfVay6Vub1mCg5lYg,65
000012.png,us,43.62871144805175,-93.16912217165418,ieyhh7QLd5QCPmxedhxY7Q,178
000013.png,br,-3.447735066181155,-44.52513915639192,yEHRHGo6g5YKfxmmL6IIOQ,357
000014.png,us,36.79542925016139,-79.40300413007621,7KlnIIO3K-Guygl0OfYXaw,326
000015.png,es,37.28388898693858,-3.668442258431897,wPwy1ffp6Z0kgORpU7lY4g,287
000016.png,au,-37.4455799406314,149.1939338652,5yDQoOu_LWd6WNEIOk71Wg,122
000017.png,jp,36.3757106092703,137.8493088749776,vTjCKTtLxs823oBrTsjpiQ,302
000018.png,ro,45.3951130725767,28.11694280818534,qPo26OoVJzvO3VeJzXT8RQ,336
000019.png,us,38.17413397618144,-93.21720190927773,6JfGLAD0RLi1TysVeRCTgw,283
000020.png,kh,13.50340476512651,105.2781284267148,jMk0JUD860qiDBTzqcQWHw,273
000021.png,au,-23.57786423932385,113.967119854337,CH-m1VermvyaU26WgshyFg,212
000022.png,ru,60.40356655681753,32.88547309929906,XRK-yumyVoFReIZY-xrsOw,106
